frame,timestamp,exercise,probability
1,1752663605.2227635,dips,0.03858344256877899
2,1752663605.381436,dips,0.03967636823654175
3,1752663605.545297,dips,0.03994317352771759
4,1752663605.6887386,dips,0.039718739688396454
5,1752663605.8519967,dips,0.03920486569404602
6,1752663606.1752076,dips,0.039128467440605164
7,1752663606.5155501,dips,0.038328029215335846
8,1752663607.4714105,dips,0.03753785789012909
9,1752663607.7833004,dips,0.03725679591298103
10,1752663608.0892377,dips,0.03739805147051811
11,1752663608.430955,dips,0.037955980747938156
12,1752663608.7795818,dips,0.03775979205965996
13,1752663609.1051915,dips,0.038782842457294464
14,1752663609.4455543,dips,0.04027640074491501
15,1752663609.7752774,dips,0.055901847779750824
16,1752663610.1121516,dips,0.04096367210149765
17,1752663610.4927008,dips,0.04009830579161644
18,1752663610.8059309,dips,0.03890903294086456
19,1752663611.132166,dips,0.04216857999563217
20,1752663611.4718285,dips,0.0473078116774559
21,1752663611.8200128,dips,0.04520639777183533
22,1752663612.1415305,dips,0.04206572845578194
23,1752663612.438288,dips,0.0428762212395668
24,1752663612.7700233,dips,0.049520064145326614
25,1752663613.1419044,dips,0.04269503057003021
26,1752663613.468122,dips,0.042917586863040924
27,1752663613.8003883,dips,0.0434781089425087
28,1752663614.1012962,dips,0.048627130687236786
29,1752663614.4401078,dips,0.05669392645359039
30,1752663614.7920513,dips,0.05127286911010742
31,1752663615.13214,dips,0.05190901830792427
32,1752663615.4588482,dips,0.057956721633672714
33,1752663615.8337421,dips,0.0511736162006855
34,1752663616.174663,dips,0.04971163719892502
35,1752663616.656312,dips,0.06457845121622086
36,1752663617.1747818,dips,0.08356563746929169
37,1752663617.6930974,dips,0.0948687195777893
38,1752663618.1684089,dips,0.043056946247816086
39,1752663618.6388586,dips,0.04255850240588188
40,1752663619.415918,dips,0.04290568083524704
41,1752663619.6762977,dips,0.11256770044565201
42,1752663620.0570502,dips,0.0714789405465126
43,1752663620.5161054,dips,0.07931088656187057
44,1752663620.8066523,dips,0.05435144528746605
45,1752663621.2590477,dips,0.06886941194534302
46,1752663621.8964245,dips,0.06705978512763977
47,1752663622.4069977,dips,0.04394397884607315
