frame,timestamp,exercise,probability
1,1752364778.702242,push-ups,0.42678239941596985
2,1752364778.8860016,push-ups,0.1681097447872162
3,1752364779.3812296,push-ups,0.06511179357767105
4,1752364779.8709147,push-ups,0.13407672941684723
5,1752364780.4649568,push-ups,0.3934471309185028
6,1752364781.0640047,push-ups,0.6035394072532654
7,1752364781.6994243,push-ups,0.22638145089149475
8,1752364782.3212743,push-ups,0.07199972867965698
9,1752364782.9845057,push-ups,0.1052749902009964
10,1752364783.624754,push-ups,0.1815074384212494
11,1752364784.2905135,push-ups,0.6097737550735474
12,1752364784.8343842,push-ups,0.4368896782398224
13,1752364785.425345,push-ups,0.32149752974510193
14,1752364786.056537,push-ups,0.12587594985961914
15,1752364786.6006725,push-ups,0.08308735489845276
16,1752364787.1884553,push-ups,0.10086085647344589
17,1752364787.7676091,push-ups,0.11120066046714783
18,1752364788.3490658,push-ups,0.13716694712638855
19,1752364788.9172213,push-ups,0.1153414398431778
20,1752364789.5404708,push-ups,0.1175447478890419
